Categories,Denman,Hornby,CV,BC,Canada
55 Management of companies and enterprises,0,0,30,5785,45455
22 Utilities,0,0,155,14820,147750
"21 Mining, quarrying, and oil and gas extraction",10,0,380,24955,239030
51 Information and cultural industries,10,10,425,71295,400460
53 Real estate and rental and leasing,10,0,535,59155,343940
41 Wholesale trade,15,10,575,80165,610295
Industry - not applicable,15,0,610,54165,486865
52 Finance and insurance,0,0,745,95560,815225
"71 Arts, entertainment and recreation",40,25,925,60775,350710
31-33 Manufacturing,20,15,1040,152790,1540490
48-49 Transportation and warehousing,40,0,1340,142230,981030
"56 Administrative and support, waste management and remediation services",50,45,1445,110215,792600
81 Other services (except public administration),10,45,1470,113780,797935
"11 Agriculture, forestry, fishing and hunting",75,45,1820,60320,434800
61 Educational services,45,25,2305,192855,1413320
72 Accommodation and food services,25,55,2330,182105,1085270
"54 Professional, scientific and technical services",55,20,2390,238650,1571160
91 Public administration,0,10,2750,142730,1188915
23 Construction,50,70,3405,234345,1469085
44-45 Retail trade,35,35,4470,301060,2149640
62 Health care and social assistance,90,55,4970,319525,2446370